game_id;result;moves;board
14;draw;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,17-22,15-10,6x15,19x10,11-15,24-19,15x24,28x19,7-11,30-25,11-16,21-17,5-9,14x5,8-11,23x14,16x23x32,25x18,13x22,14-9,32-28,9-6,11-16,6-2,16-19,10-7,3x10,2-7,19-23,7x14,23-27,31x24,28x19,14-10,22-26,18-14,26-30,14-9,30-26,29-25,26-30;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
15;draw;11-15,23-19,8-11,22-17,11-16,24-20,16x23,27x18x11,7x16,20x11,3-7,25-22,7x16,22-18,9-14,18x9,5x14,29-25,4-8,32-27,8-11,25-22,11-15,17-13,16-19,22-17,12-16,27-24,16-20,31-27,2-7,26-23,19x26,30x23,14-18,23x14,1-5,27-23,20x27,23-19,15x24,28x19,27-31,14-9,5x14,19-15,10x19,17x10x3,31-26,3-7,26-22;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
16;black_win;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,17-22,15-10,6x15,19x10,11-15,24-19,15x24,28x19,7-11,14-9,5x14,10-7,3x10,21-17,14x21,23x14x7,1-6,7-3,6-10,27-24,11-15,3-7,10-14,19x10,8-11,7x16,12x19x28,10-6,28-32,6-2,32-28,2-6,14-18,6-10,18-23,10-14,23-27,31x24,28x19,14-17,22-26;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
17;draw;11-15,23-19,8-11,22-17,11-16,24-20,16x23,27x18x11,7x16,20x11,3-7,25-22,7x16,22-18,9-14,18x9,6x13x22,26x17,5-9,28-24,1-6,30-26,10-15,29-25,2-7,25-22,4-8,32-28,7-10,24-20,16-19,20-16,19-24,28x19,15x24,22-18,12x19,17-14,10x17,21x14x5,6-9,5-1,9-13,1-6,24-28,6-10,28-32,18-15,8-12,15-11,12-16;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
18;black_win;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,18-22,23-18,11-16,27-23,22-25,29x22,17x26,31x22,6-10,15x6,1x10x17x26,24-20,7-11,18-14,26-31,14-10,31-27;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
19;draw;11-15,23-19,8-11,22-17,11-16,24-20,16x23,27x18x11,7x16,20x11,3-7,25-22,7x16,22-18,9-14,18x9,6x13x22,26x17,5-9,28-24,10-15,30-26,4-8,24-20,16-19,32-28,2-7,29-25,1-6,17-13,8-11,31-27,7-10,27-24,9-14,25-22,14-18,22-17,18-22,17-14,10x17,21x14,22x31,14-10,31-27,10x1,11-16,20x11;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
20;draw;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,18-22,23-18,11-16,15-11,16x23x32,11x2,22-25,29x22,17x26,30x23,32-27,2x9,27x20,28-24,20x27,31x24,3-7,24-19,7-11,19-15,11-16,14-10,5x14,18x9,16-19;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
21;draw;11-15,22-17,15-19,23x16,12x19,24x15,10x19,25-22,8-11,30-25,4-8,27-23,11-16,22-18,8-12,17-14,16-20,23x16,12x19,32-27,9-13,25-22,6-9,27-24,20x27,31x24x15,1-6,29-25,7-10,14x7,3x10x19,18-15,9-14,15-11,6-10,11-8,2-7,8-3,14-17,21x14,10x17,3x10,17-21,10-15,21x30,15x24,30x23,24-20,5-9;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
22;draw;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,18-22,23-18,11-16,15-11,16x23x32,11x2,22-25,29x22,17x26,30x23,32-27,2x9,27x20,28-24,20x27,31x24,3-7,24-20,8-11,23-19,7-10,14x7,5x14x23,7-3,1-6,3-8,23-27,8x15,27-31,19-16,12x19,15x24,6-10,24-19,31-26,20-16,10-14,16-11,14-18;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
23;draw;11-15,22-17,15-19,23x16,12x19,24x15,10x19,25-22,8-11,30-25,4-8,27-23,11-16,22-18,8-12,17-14,16-20,23x16,12x19,32-27,9-13,25-22,6-9,27-24,20x27,31x24x15,1-6,29-25,7-10,14x7,3x10x19,18-15,9-14,15-11,6-10,11-8,2-7,8-3,5-9,3-8,10-15,8-3,7-11,3-7,11-16,7-3,14-18,3-7,18-23,7-11,23x30,11x20,19-23;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
